mu_max,qp_max,ksx,ksp,yx,yp,gs,ms
0,0,1,1,1,1,0,0
0.0625,0.0625,1.25,1.25,2.1875,2.1875,0.0625,0.0625
0.125,0.125,1.5,1.5,3.375,3.375,0.125,0.125
0.1875,0.1875,1.75,1.75,4.5625,4.5625,0.1875,0.1875
0.25,0.25,2,2,5.75,5.75,0.25,0.25
0.3125,0.3125,2.25,2.25,6.9375,6.9375,0.3125,0.3125
0.375,0.375,2.5,2.5,8.125,8.125,0.375,0.375
0.4375,0.4375,2.75,2.75,9.3125,9.3125,0.4375,0.4375
0.5,0.5,3,3,10.5,10.5,0.5,0.5
0.5625,0.5625,3.25,3.25,11.6875,11.6875,0.5625,0.5625
0.625,0.625,3.5,3.5,12.875,12.875,0.625,0.625
0.6875,0.6875,3.75,3.75,14.0625,14.0625,0.6875,0.6875
0.75,0.75,4,4,15.25,15.25,0.75,0.75
0.8125,0.8125,4.25,4.25,16.4375,16.4375,0.8125,0.8125
0.875,0.875,4.5,4.5,17.625,17.625,0.875,0.875
0.9375,0.9375,4.75,4.75,18.8125,18.8125,0.9375,0.9375
1,1,5,5,20,20,1,1
